,Sno.,State Name,District Name,Total households applied for job card,Total job cards issued,Total job cards (SC),Total job cards (ST),Total job cards (non-SC/ST),Total households demanded work,Total persons demanded work,Total households allotted work,Total persons allotted work,Total muster rolls filled,Total households worked,Total persons worked,Total households reached 100 day limit,Total persons with disability,Total households worked (non-SC/ST),Total person-days worked (non-SC/ST),Total SC households worked,Total person-days worked by SCs,Total ST households worked,Total person-days worked by STs,Total land reform/IAY households worked,Total person-days worked by women,Total person-days,Total SC households over 100 day limit,Total ST households over 100 day limit,"Labour exp. (disbursed, Rs. In Lakhs)","Material exp. (disbursed, Rs. In Lakhs)","Labour exp. (disbursed + pending, Rs. In Lakhs)","Material exp. (disbursed + pending, Rs. In Lakhs)",Amount sanctioned (Rs. In Lakhs),Total works,Total bank accounts,Total individual bank accounts,Total joint bank accounts,Amount disbursed to bank accounts,Total post office accounts,Total individual post office accounts,Total joint post office accounts,Amount disbursed to post office accounts,Total households completed<br>person-days in range:1-10,Total households completed<br>person-days in range:11-20,Total households completed<br>person-days in range:21-30,Total households completed<br>person-days in range:31-40,Total households completed<br>person-days in range:41-50,Total households completed<br>person-days in range:51-60,Total households completed<br>person-days in range:61-70,Total households completed<br>person-days in range:71-80,Total households completed<br>person-days in range:81-99,Total households completed<br>person-days in range:100,Total households completed<br>person-days in range:>100,Total households completed<br>person-days in range:>14,Total workers employed<br>in age group:18-30yrs,Total workers employed<br>in age group:30-40yrs,Total workers employed<br>in age group:40-50yrs,Total workers employed<br>in age group:50-60yrs,Total workers employed<br>in age group:>60yrs,Total households demanded<br>work(Apr),Total households demanded<br>work(May),Total households demanded<br>work(Jun),Total households demanded<br>work(Jul),Total households demanded<br>work(Aug),Total households demanded<br>work(Sep),Total households demanded<br>work(Oct),Total households demanded<br>work(Nov),Total households demanded<br>work(Dec),Total households demanded<br>work(Jan),Total households demanded<br>work(Feb),Total households demanded<br>work(Mar),Total persons demanded work(Apr),Total persons demanded work(May),Total persons demanded work(Jun),Total persons demanded work(Jul),Total persons demanded work(Aug),Total persons demanded work(Sep),Total persons demanded work(Oct),Total persons demanded work(Nov),Total persons demanded work(Dec),Total persons demanded work(Jan),Total persons demanded work(Feb),Total persons demanded work(Mar),Total households worked(Apr),Total households worked(May),Total households worked(Jun),Total households worked(Jul),Total households worked(Aug),Total households worked(Sep),Total households worked(Oct),Total households worked(Nov),Total households worked(Dec),Total households worked(Jan),Total households worked(Feb),Total households worked(Mar),Total persons worked(Apr),Total persons worked(May),Total persons worked(Jun),Total persons worked(Jul),Total persons worked(Aug),Total persons worked(Sep),Total persons worked(Oct),Total persons worked(Nov),Total persons worked(Dec),Total persons worked(Jan),Total persons worked(Feb),Total persons worked(Mar)
0,1.0,ANDAMAN AND NICOBAR,NICOBARS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2.0,ANDAMAN AND NICOBAR,NORTH AND MIDDLE ANDAMAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,3.0,ANDAMAN AND NICOBAR,SOUTH ANDAMAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,4.0,DADRA & NAGAR HAVELI,DADRA AND NAGAR HAVELI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,5.0,DAMAN & DIU,DAMAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,6.0,DAMAN & DIU,DIU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,7.0,LAKSHADWEEP,LAKSHADWEEP DISTRICT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,8.0,NAGALAND,DIMAPUR,74260,74078,3611,66451,4016,71308,73752,71305,73748,5912,65059,67500,0,20,3229,113567,3120,100478,58710,1865936,55,534069,2079981,0,0,2558,1575,2564,1575,16226,3456,40547,39087,1460,84450771,4,4,0,7965,30563,180185,322241,750875,584611,150345,35076,12202,13883,0,0,2023683,4418,17733,19276,15692,10381,69616,10741,507,177,21376,7127,14180,43195,23169,47584,51471,13660,69616,10741,507,177,21382,7127,14180,43206,23176,47620,51558,13660,30000,8087,584,177,18483,11061,14910,47773,22854,47169,52911,31220,157001,49338,1752,1770,118965,56034,93666,283564,117179,412547,643639,144526
8,9.0,NAGALAND,KIPHIRE,23793,23793,4,23733,56,23119,25244,23115,25238,656,22736,23641,0,1,55,2026,4,138,22677,886214,37,296669,888378,0,0,459,218,710,269,2947,1794,3512,3483,29,14334345,0,0,0,0,137,3272,128164,307431,254135,178742,16421,76,0,0,0,887831,3045,7699,5669,3910,3318,22290,1993,15077,16210,13446,0,9012,15741,11968,18881,22480,4060,22290,1993,15098,16273,13517,0,9012,15744,12005,18888,22482,4061,0,1455,6129,8218,6338,0,7618,7839,8906,16079,14980,3641,0,8734,71545,39079,75478,0,104831,88730,89186,189010,186329,35456
9,10.0,NAGALAND,KOHIMA,54478,54261,0,54092,169,49055,52915,47500,51145,2669,47295,50500,0,11,165,3287,0,0,47130,1337019,2,562901,1340306,0,0,1346,1194,1372,1196,6056,1979,20000,19923,77,54732693,7,7,0,37524,53682,150289,218163,324150,220543,152054,123493,51375,46557,0,0,1200584,3187,14439,12696,10009,10169,19178,20512,21659,12737,14376,4912,7274,9402,3966,23544,29081,36223,19246,20814,21828,12948,14683,4929,7312,9418,4030,23794,29096,36749,16944,19239,15802,10748,11920,7481,7832,6328,4276,21751,29826,24198,87111,168040,140381,59485,108278,50638,54668,37057,16322,165164,280477,172685
10,11.0,NAGALAND,LONGLENG,21441,21439,1,21345,93,21312,30189,21283,29643,540,21274,28888,0,3,93,2920,1,31,21180,670635,0,192323,673586,0,0,1045,344,1045,344,4920,2092,7085,6582,503,21158031,0,0,0,0,110,954,11829,657215,0,0,0,0,0,0,0,669998,1251,6844,8087,7371,5335,21057,0,1420,15872,5122,0,3847,21206,11736,21194,0,21190,21141,0,1420,15954,5122,0,3847,21206,11808,21204,0,21190,9469,0,0,4350,0,0,0,20524,12095,21184,0,4108,61160,0,0,30439,0,0,0,179761,191366,201604,0,9256
11,12.0,NAGALAND,MOKOKCHUNG,35751,35741,2,35368,371,35931,49872,35931,49870,648,34172,45266,0,14,363,11667,2,97,33807,1162347,5,499889,1174111,0,0,2122,1188,2146,1239,4266,1281,27168,26792,376,99017517,193,193,0,450111,33935,40919,145548,435935,252120,205241,11151,370,0,0,0,1069777,2740,9310,10636,9408,13172,21782,32053,0,2494,0,25493,24306,13779,3462,2400,19953,18956,21795,32060,0,2495,0,25510,24327,13786,3474,2437,19971,19031,18022,17924,0,0,0,23699,23731,11254,0,1838,21139,19599,66686,137645,0,0,0,248924,202450,98968,0,15820,228417,175201
12,13.0,NAGALAND,MON,40086,40084,9,39804,271,40074,42594,40074,42593,564,39864,42293,0,11,270,7860,9,247,39585,1201022,1,439022,1209129,0,0,1474,921,1487,924,6752,2720,23525,23505,20,55337634,1,1,0,0,1758,2080,839654,365637,0,0,0,0,0,0,0,1206843,2844,11788,10845,10003,6813,39552,39764,4356,4714,495,0,39866,18578,4113,38308,23768,12659,39553,39764,4356,4714,495,0,39867,18578,4113,38317,23768,12659,38255,22737,0,6927,0,1867,28784,6987,0,39142,23554,15821,152364,124099,0,68158,0,9335,193999,31964,0,279520,221860,127830
13,14.0,NAGALAND,PEREN,27186,27186,70,26996,120,26922,26955,26919,26951,1614,26783,26790,0,31,106,5017,65,2950,26612,1312877,1,214040,1320844,0,0,278,822,280,822,5161,1355,11985,11960,25,6438729,0,0,0,0,2570,35966,137313,6342,128075,854893,325,0,0,0,0,1160514,1189,6854,7915,6867,3965,26065,0,0,25743,2759,0,23858,25884,25986,0,25998,0,26065,0,0,25743,2759,0,23863,25885,26003,0,25998,0,24960,386,0,25302,10599,0,17699,24236,24830,0,14913,14914,151200,1152,0,322041,35693,0,68212,230518,309190,0,77335,125503
14,15.0,NAGALAND,PHEK,34169,34169,27,30950,3192,34153,36463,34153,36463,934,34152,35405,0,97,3192,119178,27,758,30933,1011525,122,360098,1131461,0,0,1124,538,1200,560,6464,1901,19691,19486,205,36543243,0,0,0,0,380,33646,368947,353435,334090,54901,0,0,0,0,0,1140691,1395,7538,9064,7687,9721,29915,21911,14976,26877,12354,4458,19641,27879,28869,24864,17041,14432,29920,21911,14976,26897,12392,4458,19641,27888,28872,24865,17041,14436,14789,5236,8850,18234,3713,3599,18139,24867,24878,22063,12274,16888,58834,25738,62103,149157,9917,6862,155596,134038,219049,149582,43827,116758
15,16.0,NAGALAND,TUENSANG,48451,48450,8,41912,6530,27735,29350,27735,29350,1512,25046,26154,0,8,4236,219489,4,220,20806,1055155,3,454692,1274864,0,0,1342,615,1387,654,5780,3813,20135,20013,122,55029123,0,0,0,0,1150,16770,18840,193290,159606,421285,312794,16240,133389,0,0,1269214,2842,7064,6793,5461,3994,0,4005,0,0,0,1715,14645,10758,12789,22560,22957,22826,0,4005,0,0,0,1719,14658,10773,12804,22577,23136,22996,0,0,0,0,0,1715,13656,12131,11264,22528,22868,22750,0,0,0,0,0,25725,119071,127877,136845,267971,306378,290997
16,17.0,NAGALAND,WOKHA,37348,37209,5,36050,1154,36647,36649,36647,36649,1002,36282,36284,0,5,538,16866,5,177,35739,1094522,4,393478,1111565,0,0,961,128,1096,201,3271,3585,14790,14753,37,31327053,1,1,0,5664,4024,32273,498108,413033,96507,57055,0,0,0,0,0,1093272,3054,9409,9773,6876,7172,33410,5617,28327,6435,26283,15421,27211,30980,22393,33769,33788,27001,33410,5617,28327,6435,26283,15421,27211,30980,22395,33769,33788,27001,29733,4519,19742,3241,8676,14536,24131,28568,20987,30291,29562,24097,89199,13557,82146,13348,42324,71990,117433,143706,104773,196969,130519,105601
17,18.0,NAGALAND,ZUNHEBOTO,37807,37807,0,37649,158,33961,34494,33911,34433,2281,33642,34163,0,7,13,358,0,0,33629,1080864,12,246241,1081222,0,0,1396,764,1459,822,10085709,1554,13863,13827,36,27049842,0,0,0,0,1991,13912,359025,565792,137970,2532,0,0,0,0,0,1079205,971,6353,8582,8473,9784,24512,16551,8146,12146,1062,1044,19004,18479,26338,1573,1669,17346,24512,16551,8146,12146,1062,1044,19004,18481,26338,1573,1669,17392,7887,5526,12115,3832,5049,8952,18106,23116,19856,2478,1781,12484,63080,31224,85313,19160,20651,39057,159623,301230,211278,15775,3945,130886
18,19.0,ANDHRA PRADESH,ANANTAPUR,807803,807803,143808,36302,627693,366611,671831,355371,648531,903181,309093,542876,103089,7155,239921,17575536,54693,3649213,14479,1048066,60560,12484012,22272815,15427,4994,45490,18922,45493,32213,314695,482484,812737,812734,3,4189797452,145,145,0,0,160502,401462,616916,789418,961559,1181601,1254434,1391688,2426405,796800,12117806,21788799,32966,102268,154895,141329,111418,260796,269752,260468,221341,166910,161654,143306,160991,191076,176130,222452,221572,461091,477193,457631,380141,278761,275362,243924,275980,329210,300097,381254,381109,159681,196066,191367,156030,95761,79984,77847,75231,100365,84816,98248,101521,3146017,4276504,3230739,2296973,1228302,1003735,1071520,989213,1371596,1004123,1288384,1365709
19,20.0,ANDHRA PRADESH,CHITTOOR,683472,683472,178238,35918,469316,268748,442380,254476,415369,931306,279240,453979,70638,5567,191594,12280621,76167,4482490,11479,701222,73433,10242824,17464333,16764,2753,36378,19150,36384,30918,260889,604970,688550,688546,4,3451616873,426,426,0,66139,192254,505015,686089,759879,905015,1023346,1002444,1111411,2227756,518400,8376545,16911649,16545,64137,124697,126314,122286,159053,170839,165778,160190,146908,146717,150872,135519,135240,124287,136667,115200,244753,264188,254846,243201,218454,222520,229780,202329,199684,181504,201339,168284,131144,148214,149461,147851,121485,115712,122937,96627,89233,82257,87793,77325,1977164,2414822,2175293,2023043,1376829,1364901,1580200,1028446,987954,817606,917265,800810
20,21.0,ANDHRA PRADESH,CUDDAPAH,549171,549171,127280,17813,404078,252407,426639,242230,405518,713453,235267,377593,68031,4096,173816,12654190,55335,3708120,6116,433074,57188,10693415,16795384,13829,1645,34436,15970,34438,27917,260524,405727,446710,446701,9,2983167626,73644,73644,0,13824779,117676,304762,476059,621610,765532,901047,979837,1091552,2535063,224500,8581320,16371194,14989,61962,105593,107237,87812,188799,207970,200577,178255,151599,137506,129276,115128,110233,95508,161778,166775,304809,338380,323523,281466,234969,216100,202666,179853,171302,146882,253421,260735,134939,167322,159277,132996,88723,80413,84567,70665,65541,50716,90054,96835,2334371,3463567,2338562,1615113,974619,930021,1077783,768887,673897,467682,1020683,1130199
21,22.0,ANDHRA PRADESH,EAST GODAVARI,841970,841970,225469,95014,521487,386445,584027,331701,487112,1031174,416822,617476,59486,10506,233341,11287872,125357,6354061,58124,3158755,73759,11486483,20800688,16954,8667,42500,35748,42506,42758,346200,443119,613204,613195,9,3042837804,307047,307046,1,661290104,273562,765972,1259924,1602517,1768742,1810922,1797836,1739098,4118020,4114200,1296377,20020268,25340,123265,164797,158300,145774,251039,331566,312878,171518,64791,42736,52475,83334,99132,97281,167037,188764,359724,487474,453547,231694,81322,52655,66634,110562,129615,126179,222879,254681,210681,310460,291101,129950,58087,47412,58552,75702,72195,72724,126336,148596,3052725,5556460,3867601,1193563,786244,657583,745927,838552,712461,630593,1246258,1512721
22,23.0,ANDHRA PRADESH,GUNTUR,799867,799867,240071,58061,501735,354463,620393,256712,439275,479438,295101,492866,12444,3669,183770,6113193,94286,3211461,17045,811969,43873,5581485,10136623,3463,1717,20471,27525,20471,44909,244661,356642,598216,598201,15,1614228432,87,87,0,0,378954,940512,1167697,1109266,1001583,879763,711909,700663,1807281,910000,457278,9356799,24565,110984,148627,122929,85761,206930,295094,266666,108189,26941,7914,6450,5999,10247,8630,76936,125217,352019,509169,455617,177168,43189,12271,9908,9650,17069,14140,123661,205660,110959,210714,186819,57168,19858,19154,25832,21054,17781,14240,31076,52334,1412590,3211304,2300268,552882,253837,282681,451836,323114,254830,192839,339152,561290
23,24.0,ANDHRA PRADESH,KRISHNA,633643,633643,228878,25990,378775,288793,509405,240854,417335,506989,246011,409513,12822,4402,145239,5473769,92099,3451086,8673,321159,21122,5219990,9246014,4656,378,18697,24506,18698,34652,218771,300927,513269,513268,1,1557716862,0,0,0,0,268084,658480,884821,933688,921487,874618,738952,701676,1951325,836500,387423,8654818,19319,104069,126094,97552,62528,205229,244226,215147,116358,36094,13842,13371,16700,28190,27280,65531,101862,350236,420285,365286,190871,57588,21880,20309,26502,44837,41848,103112,163077,122039,174142,140728,58591,28494,27467,28571,21388,17569,17726,27005,44948,1752906,2889290,1655132,533351,352448,321754,349520,282512,212974,203363,271946,420818
24,25.0,ANDHRA PRADESH,KURNOOL,811609,811609,184452,21507,605650,396956,758320,374962,711112,892832,326767,582267,49950,4785,240098,12893817,78559,3913257,8110,683065,100129,9923627,17490139,9732,2169,34522,24244,34529,32765,288838,478348,778794,778788,6,2942604494,0,0,0,0,257973,636235,927366,1105391,1224783,1269381,1276138,1285892,3203128,485900,5609928,16803452,48729,149752,170492,133105,80200,280387,312706,290404,246702,178932,167746,144896,181534,185420,164927,190878,219160,519170,581499,534578,447168,318313,304973,263352,329920,336415,296985,339532,391273,176327,227237,196063,152415,81968,68639,61660,76136,76805,61418,66709,86795,2718768,4027050,2575086,1714354,929599,792882,752326,888422,870825,641971,678107,900749
25,26.0,ANDHRA PRADESH,NELLORE,601664,601664,192371,76229,333064,285774,480587,276010,460805,796023,246030,383426,46628,3385,145338,8839960,83181,4653745,17511,1011150,52609,8877384,14504855,14195,2867,28604,17690,28604,23780,211521,442819,483671,483667,4,2476109797,1350,1350,0,20083,184760,416178,604405,729349,850711,931062,956613,1001105,2777481,171800,5725369,14019135,18798,73787,104840,101853,84618,183489,200370,205084,198055,187717,174887,161161,140412,102223,102809,153127,182995,292984,320970,327260,312615,293463,272921,249033,214522,152932,155908,236595,285236,109877,137880,146018,138992,125925,121166,104547,76619,51096,49257,78447,107374,1438869,2026870,1908417,1649958,1446429,1392853,1127014,738983,475160,381260,725459,1193583
26,27.0,ANDHRA PRADESH,PRAKASAM,749945,749945,210107,41031,498807,490706,863694,483430,848688,1184909,434797,721801,113399,6252,299420,21320586,121665,7814106,13712,886086,84063,17935595,30020778,26758,2948,58244,37853,58254,53885,405782,499510,788083,788077,6,4989742944,567,567,0,0,208560,587818,987506,1330225,1604567,1846064,1975464,2018931,4134253,360600,14578621,29232039,38391,161187,198044,180137,144420,412412,438185,431108,374213,282711,246561,274590,257408,258451,329145,378589,415859,709227,754564,735777,630420,468014,412963,462821,433842,435024,555326,636567,704629,280860,342648,321234,220871,113284,91644,123888,97339,81560,132324,180729,225831,4741326,6614714,4657325,2379844,1075404,976875,1377819,1053112,764879,1126474,2120575,3132431
27,28.0,ANDHRA PRADESH,SRIKAKULAM,583331,583331,60116,42856,480359,432850,738531,427140,724785,1001481,396551,620767,83076,9459,323401,20029182,40716,2585821,32434,2262417,69097,17049746,24877420,7405,10420,46998,16814,46999,27697,317911,450208,599210,599209,1,3701245430,153487,153487,0,6780839,143321,426625,763952,1094161,1488653,1957893,2300617,2490823,6849930,6613100,434668,24281901,25716,125352,166912,163858,139194,385345,390635,381631,310538,126714,67212,55056,58392,161913,259733,327385,328503,634755,637938,616907,490169,198557,104688,86107,91929,250819,401881,495638,491174,294406,318095,307919,177470,43367,29398,20386,30278,70067,163254,240141,259141,4613026,5970313,4320549,1397396,452945,346956,224341,351789,577392,1082731,2491458,3048524
28,29.0,ANDHRA PRADESH,VISAKHAPATANAM,490649,490649,34779,163621,292249,219577,355234,217097,349304,976231,337485,569948,100800,5364,187585,11577847,19367,1080539,130533,9408741,71269,13063280,22067127,3024,50416,43041,22862,43042,31109,411747,460552,523597,523595,2,3332585453,134910,134910,0,73097456,122046,349892,637027,909023,1225952,1512024,1695706,1799356,4404492,8333900,795725,21548087,32874,160981,173467,132555,70071,193375,191638,186889,174139,142116,86016,90075,126882,135762,140211,155376,158942,301383,295387,284488,261136,205748,121888,128777,184476,193775,198767,220128,229470,225720,247736,220763,165477,108454,58972,68486,99782,112677,125071,156536,169642,3798305,4554023,2898968,1602160,1098670,620984,753357,991419,1120603,996644,1634865,1997129
29,30.0,ANDHRA PRADESH,VIZIANAGARAM,515104,515104,57087,63709,394308,314948,556018,312634,548656,1048617,372796,616837,115785,11171,283567,20176970,40980,2792572,48249,3170695,87756,17054994,26140237,10196,12628,49292,16609,49292,24574,333598,446951,576133,576128,5,3984423427,49642,49642,0,20021988,97603,302894,589173,929632,1288976,1653106,1973630,2306280,6603333,7388200,2629444,25571769,25277,111541,167193,174278,138548,290298,289973,281067,206878,74023,25976,29161,85682,232504,221038,259683,256931,493345,486711,466030,332950,114849,39951,44275,131488,373486,346103,406638,405254,295411,316100,285427,124153,36413,27241,32812,46413,169583,192184,253469,259596,4840477,6321662,3507903,944785,428768,392304,369731,366184,1377831,1277872,2731214,3581506
30,31.0,ANDHRA PRADESH,WEST GODAVARI,748063,748063,240351,41398,466314,336432,552061,297282,481966,793424,332494,522977,31295,4619,198315,8423613,112455,5209136,21724,1132466,48137,8097644,14765215,10123,2341,29616,25587,29617,31157,265165,373807,684930,684910,20,2628104002,0,0,0,0,279118,789873,1120433,1211565,1305210,1301172,1212399,1190799,3411265,2560800,202074,14031377,37115,135236,146718,116210,87698,233040,282210,257225,145839,80026,75035,64920,79633,75766,57456,125062,168070,373837,453515,409131,223449,117490,108141,90555,116913,111238,82770,187040,256067,169245,243169,212997,78571,43283,51828,47538,57965,51630,33646,74912,111926,2379723,4259056,2520293,659978,540176,588677,537360,661984,515799,309340,684716,1108113
31,32.0,ARUNACHAL PRADESH,ANJAW,7414,7374,0,7254,120,3897,3982,3887,3964,557,3778,3803,0,0,50,1427,0,0,3728,172174,0,86505,173601,0,0,129,116,134,116,1385,149,7846,7815,31,20528115,0,0,0,0,4283,16177,4548,694,1681,4879,7432,115757,18150,0,0,165252,566,1177,933,624,503,2,0,0,0,483,0,1582,814,2606,748,709,26,2,0,0,0,487,0,1584,814,2621,757,709,26,0,0,0,0,438,0,1445,770,2561,2150,2110,25,0,0,0,0,2296,0,13247,5509,55837,56005,40422,285
32,33.0,ARUNACHAL PRADESH,CHANGLANG,13947,13914,2,10756,3156,12413,13681,12398,13589,2494,12374,13493,1,11,2583,94507,2,140,9789,488207,24,168546,582854,0,1,910,555,916,557,2585,1025,15825,11100,4725,97647360,395,389,6,0,92,3698,18529,164446,141700,63397,61979,45221,82596,100,0,580323,827,3446,4162,2882,2176,264,1815,859,144,1875,39,1048,1343,4266,3723,5423,3128,264,1816,867,144,1875,39,1087,1345,4298,4076,5992,3409,100,441,899,175,1848,1973,1095,1880,4732,6230,6321,4521,1954,5370,17272,1806,37312,41654,20136,30868,76710,137729,143599,68444
33,34.0,ARUNACHAL PRADESH,EAST KAMENG,20974,20850,11,20516,323,20269,22863,20148,22729,914,19389,21917,0,12,308,14145,9,442,19072,829894,94,291047,844481,0,0,1498,401,1533,401,3808,347,24698,23986,712,128161947,0,0,0,0,226,50277,50098,178744,122807,128108,117495,110633,86333,0,0,842743,3426,5645,5807,4694,2183,10674,5174,5162,7466,5089,3507,5037,3280,10258,6266,8284,4805,11964,5635,5162,7466,5089,3871,5044,3282,10268,6746,8284,4805,5203,4087,3399,7001,5122,547,2455,758,8912,5542,7789,4761,104987,53683,42776,89400,67759,6700,38138,9292,146925,89279,124205,71337
34,35.0,ARUNACHAL PRADESH,EAST SIANG,8972,8952,12,8093,847,7146,7163,7146,7163,209,7145,7151,0,2,740,20658,8,182,6397,170784,2,87774,191624,0,0,213,49,214,49,828,340,10372,10135,237,21368666,0,0,0,0,10,28842,142650,360,5726,5514,0,2556,356,0,0,185752,387,1689,2006,1778,1291,18,0,20,20,42,66,66,1952,116,197,5083,115,18,0,20,20,42,66,66,1952,116,198,5094,115,18,0,20,20,42,66,66,1952,116,197,4895,5056,252,0,600,300,610,990,1632,28884,1740,4664,56225,95727
35,36.0,ARUNACHAL PRADESH,KURUNG KUMEY,15908,15855,6,14961,888,13613,14832,13605,14823,1380,12860,13527,3,15,632,40471,5,270,12223,694638,8,321555,735379,0,0,1070,737,1084,766,633963,332,17794,17604,190,102271485,5,5,0,0,911,9742,43650,36078,53536,176307,138473,136982,139400,300,0,734356,2420,3736,3491,2530,1350,952,685,3141,3754,4257,738,3883,3242,7257,8860,9137,6889,952,1379,3173,3775,4285,738,3883,3256,7258,8879,9154,6891,952,226,2722,3143,2809,0,3883,3242,6192,7345,8712,5928,14280,13458,64830,44031,43918,0,53647,40508,109299,108438,142710,100260
36,37.0,ARUNACHAL PRADESH,LOHIT,5133,5126,16,4422,688,4507,4516,4504,4513,233,4504,4513,0,7,601,51778,13,1178,3890,307669,0,176859,360625,0,0,587,511,587,511,1049,45,5248,5224,24,84458028,29,29,0,0,0,0,156,9519,55400,262,69,31356,263863,0,0,360625,533,1627,1065,734,554,0,0,1968,146,1906,3149,2998,865,2245,157,0,0,0,0,1968,146,1906,3149,2998,867,2245,157,0,0,0,0,1968,435,1906,3196,2731,2589,2426,154,0,0,0,0,45422,7553,38746,82532,68275,61860,53003,3234,0,0
37,38.0,ARUNACHAL PRADESH,LOWER DIBANG VALLEY,7476,7424,16,6818,590,4396,4575,4159,4293,437,4055,4143,0,4,347,6448,3,72,3705,76556,2643,37415,83076,0,0,112,49,113,49,542,564,7686,7036,650,11687487,257,255,2,0,2089,27868,41707,6258,1428,3726,0,0,0,0,0,60591,429,1282,1087,704,641,510,2383,872,412,92,76,0,239,1722,1616,670,859,513,2393,874,412,94,76,0,241,1731,1620,671,870,504,970,739,410,84,69,0,239,1390,1395,662,268,5461,11774,8882,5740,1131,690,0,3360,17258,15753,9311,3716
38,39.0,ARUNACHAL PRADESH,LOWER SUBANSIRI,21222,21078,19,20537,522,3151,3375,2653,2831,181,2130,2281,0,0,31,1217,0,0,2099,75150,156,39518,76367,0,0,121,21,123,23,1419,558,11810,11667,143,13792725,1,1,0,0,0,3909,23992,5271,38072,2580,1002,929,612,0,0,74559,211,598,582,472,418,236,0,0,0,0,75,45,0,13,1878,2366,1909,236,0,0,0,0,75,45,0,13,1953,2497,1965,0,0,0,0,0,0,0,0,0,1219,1799,1767,0,0,0,0,0,0,0,0,0,18645,28133,29589
39,40.0,ARUNACHAL PRADESH,PAPUM PARE,17708,17699,8,17457,234,17927,18094,17364,17499,3733,16653,16673,0,7,216,9224,6,234,16431,668322,2,306971,677780,0,0,1517,719,1521,719,3302,392,19842,19493,349,157640252,0,0,0,0,3434,562,129055,200148,57491,76004,38542,172380,164,0,0,674054,3551,5068,4033,2806,1215,0,0,0,181,0,8033,4711,7601,3140,17439,5758,2729,0,0,0,181,0,8033,4719,7649,3140,17526,5760,2729,0,0,0,0,0,6830,4460,8067,2908,16495,5124,2328,0,0,0,0,0,95620,60007,163626,42417,224996,76565,14549
40,41.0,ARUNACHAL PRADESH,TAWANG,8233,8205,1,8086,118,7907,8047,7872,7961,144,7861,7929,0,6,108,2455,1,24,7752,156733,1,84851,159212,0,0,248,105,254,106,838,832,9476,9322,154,31150584,78,78,0,0,1144,35091,122342,317,318,0,0,0,0,0,0,136232,484,2444,1970,1341,1690,0,0,1058,339,3302,2688,0,773,1080,468,2373,1660,0,0,1059,340,3312,2704,0,776,1080,468,2383,1670,0,0,292,339,3297,4601,193,773,1080,0,1870,967,0,0,447,521,54120,44835,1930,10370,12847,0,22538,11604
