Sno.,State Name,Total households applied for job card,Total job cards issued,Total job cards (SC),Total job cards (ST),Total job cards (non-SC/ST),Total households demanded work,Total persons demanded work,Total households allotted work,Total persons allotted work,Total muster rolls filled,Total households worked,Total persons worked,Total households reached 100 day limit,Total persons with disability,Total households worked (non-SC/ST),Total person-days worked (non-SC/ST),Total SC households worked,Total person-days worked by SCs,Total ST households worked,Total person-days worked by STs,Total land reform/IAY households worked,Total person-days worked by women,Total person-days,Total SC households over 100 day limit,Total ST households over 100 day limit,"Labour exp. (disbursed, Rs. In Lakhs)","Material exp. (disbursed, Rs. In Lakhs)","Labour exp. (disbursed + pending, Rs. In Lakhs)","Material exp. (disbursed + pending, Rs. In Lakhs)",Amount sanctioned (Rs. In Lakhs),Total works,Total bank accounts,Total individual bank accounts,Total joint bank accounts,Amount disbursed to bank accounts,Total post office accounts,Total individual post office accounts,Total joint post office accounts,Amount disbursed to post office accounts,Total households completed<br>person-days in range:1-10,Total households completed<br>person-days in range:11-20,Total households completed<br>person-days in range:21-30,Total households completed<br>person-days in range:31-40,Total households completed<br>person-days in range:41-50,Total households completed<br>person-days in range:51-60,Total households completed<br>person-days in range:61-70,Total households completed<br>person-days in range:71-80,Total households completed<br>person-days in range:81-99,Total households completed<br>person-days in range:100,Total households completed<br>person-days in range:>100,Total households completed<br>person-days in range:>14,Total workers employed<br>in age group:,Total workers employed<br>in age group:30-40yrs,Total workers employed<br>in age group:40-50yrs,Total workers employed<br>in age group:50-60yrs,Total workers employed<br>in age group:>60yrs,Total households demanded<br>work(Apr),Total households demanded<br>work(May),Total households demanded<br>work(Jun),Total households demanded<br>work(Jul),Total households demanded<br>work(Aug),Total households demanded<br>work(Sep),Total households demanded<br>work(Oct),Total households demanded<br>work(Nov),Total households demanded<br>work(Dec),Total households demanded<br>work(Jan),Total households demanded<br>work(Feb),Total households demanded<br>work(Mar),Total persons demanded work(Apr),Total persons demanded work(May),Total persons demanded work(Jun),Total persons demanded work(Jul),Total persons demanded work(Aug),Total persons demanded work(Sep),Total persons demanded work(Oct),Total persons demanded work(Nov),Total persons demanded work(Dec),Total persons demanded work(Jan),Total persons demanded work(Feb),Total persons demanded work(Mar),Total households worked(Apr),Total households worked(May),Total households worked(Jun),Total households worked(Jul),Total households worked(Aug),Total households worked(Sep),Total households worked(Oct),Total households worked(Nov),Total households worked(Dec),Total households worked(Jan),Total households worked(Feb),Total households worked(Mar),Total persons worked(Apr),Total persons worked(May),Total persons worked(Jun),Total persons worked(Jul),Total persons worked(Aug),Total persons worked(Sep),Total persons worked(Oct),Total persons worked(Nov),Total persons worked(Dec),Total persons worked(Jan),Total persons worked(Feb),Total persons worked(Mar)
1.0,ANDAMAN AND NICOBAR,50034,50033,4,3170,46859,13730,16977,13715,16958,13545,13195,16154,942,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,11534,10979,555,10133151,632,629,3,293328,16233,37316,44067,43068,52351,53262,52068,46559,83478,79400,16859,495408,2629,6190,4260,2277,1206,3414,4087,3799,3072,3490,4273,2918,2607,4317,3601,4195,3585,3887,4760,4286,3524,3927,4761,3289,2860,5032,4038,4663,3932,3248,4728,4521,3334,3853,4747,2901,2659,4007,3371,4693,4223,38566,58544,52049,34222,44441,55183,29559,24024,46112,36325,57644,47992
2.0,DADRA & NAGAR HAVELI,8157,3549,1,3496,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2181,2172,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.0,DAMAN & DIU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.0,LAKSHADWEEP,8452,8272,9,8168,95,549,576,549,574,188,477,493,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1322,1318,4,936780,6351,6331,20,1223625,203,1900,5449,1661,1101,379,515,297,620,300,102,10850,184,203,117,34,37,3,14,58,7,46,32,57,113,95,77,243,263,3,14,59,7,46,32,57,114,95,77,250,273,0,7,50,5,43,29,56,109,81,69,204,222,0,88,895,47,534,307,826,1439,1246,997,3088,3060
5.0,NAGALAND,424272,424241,3632,405450,15159,407422,482874,407064,482401,11219,405684,475483,7,110,14468,272518,3236,51084,387980,8674614,139,2808988,8998216,0,7,8839,4650,8839,4650,645424494,10698,291,286,5,434640,1,1,0,1550,436197,2350314,2209199,2588470,787541,342034,159079,53557,66534,100,617,8025310,68317,135956,123826,90954,56238,249765,169365,178671,151981,118946,122669,107811,95290,84616,91014,103145,84324,256668,172016,182291,152720,120152,123524,108358,97301,86332,93662,104143,86506,238479,167840,175074,153951,120045,112531,95420,79298,79345,75887,98325,81378,1516501,1270795,1076628,672118,539872,805355,643872,410251,292388,527950,692942,544970
6.0,ANDHRA PRADESH,8282158,8282158,2053205,716932,5512021,3693353,6653555,3677556,6623137,4608215,3306772,5574494,382982,77422,2142017,101982072,831751,35578765,333004,18565435,772520,92505626,156126272,78990,55722,172622,69504,172753,69747,2274087,2491600,712,708,4,3505950,9639053,9639053,0,17400476525,2676920,8254259,9959421,11773324,13158081,13846836,13163972,13180231,26510561,4043200,39312961,150594532,434983,1459659,1630049,1283374,751190,2568908,2844589,2884552,1950953,1083924,651258,418937,324543,518184,657819,1084181,1788052,4490573,4974980,5003451,3270182,1760908,1026878,645681,500228,821498,1052061,1742279,2973510,1777938,2069080,2149075,1068096,592200,413193,233634,167672,224333,252745,617231,1157304,31057240,35223846,35749628,11267928,6102563,4564745,2421201,1728663,2382264,2365867,7512730,15503091
7.0,ARUNACHAL PRADESH,201511,201312,125,184685,16502,146515,153089,141308,147452,17198,136988,141120,41,69,7695,188524,73,1398,129220,1748518,9884,584940,1938440,0,13,1944,1085,2013,1251,23240136,3546,63807,62045,1762,62885429,24818,22539,2279,31556200,351744,840684,307569,111520,178606,32511,30955,21895,28200,200,1138,1133426,15547,38883,39831,29222,16697,14443,5402,14677,18333,9498,22170,13329,9955,27792,35105,35241,63416,14604,5415,14702,18402,10464,22192,13588,10047,30010,35222,35531,64211,13213,5299,12819,17116,10032,19750,11994,9455,27749,29468,34009,60801,80023,56275,84854,165670,110087,135553,121374,75615,161124,192218,266763,455466
8.0,ASSAM,4513431,4423383,264117,713925,3445341,1082726,1386528,1081389,1384639,250197,964841,1220962,10230,1476,726966,16534034,61672,1292063,176203,3191990,18860,5912968,21018087,625,1148,32855,13178,33185,13909,201269181,117090,2470674,2012981,457693,2433723029,809199,721657,87542,582602592,2017200,4063740,3843114,2581728,2271943,1784776,954947,1029325,1487657,679000,379991,17183734,132101,438620,399391,189581,62731,62543,80816,105136,140638,246148,308468,287751,234574,287253,158384,133698,332168,70531,89410,123778,157458,278619,363285,350669,302966,372008,204484,170161,408002,49411,68090,81114,122273,215400,278248,246564,208993,238987,135263,119798,279997,614393,716111,744556,1090502,2311839,2760808,2564658,2314394,2624591,1468196,1357481,2525892
9.0,BIHAR,13179932,12783876,3385005,221400,9177471,1511690,1850624,1510739,1849464,1399740,962433,1158480,26159,2345,694122,22657734,252769,8718548,15542,486601,8741,11964543,31862883,8905,439,49907,43212,56358,45419,1868658405,318486,2612292,2329079,283213,3569142919,2725688,2309426,416262,1059779022,638760,4532219,5376135,3592604,4026421,3435159,2321358,2432816,5712828,1172600,2019364,31764742,184767,681214,581982,251435,53859,376815,543395,600014,212939,221046,189969,144551,114871,94453,65786,35520,49494,441272,656588,732719,246414,252193,211432,164657,133364,107778,74309,40703,56049,283612,427774,501509,191465,150573,125060,100962,81297,69304,49216,28063,38862,5562812,7481982,8465472,3026454,2591421,2106038,1662868,1386331,1196964,812047,450230,517645
10.0,CHHATTISGARH,4028288,3993379,420771,1368501,2204107,2042334,4099103,2041085,4095809,1432581,1748252,3258964,48086,15158,981163,31757236,180518,6012239,586571,17817895,9777,27722559,55587370,6020,14626,124093,38745,124281,39067,288631531,312538,2927095,2860467,66628,5157072644,3778223,3676697,101526,6017403986,1975942,6293984,7990081,7267069,7059213,6071422,4123824,3908642,5173510,271700,5446220,50913962,716701,1538322,1080330,563227,199824,1210698,1410261,1238022,217092,62510,49335,17654,11123,11484,8679,10789,17026,2241436,2691778,2317341,340064,92208,71919,25970,16951,16906,13065,16297,25417,953181,1174017,1041738,172943,46952,34899,13047,8014,8224,5956,6170,9481,15626851,21782409,15039292,1743971,480794,368436,137918,86443,97136,61588,64006,92763
11.0,GOA,34766,32230,769,9395,22066,7250,7543,7232,7513,2412,7225,7500,104,2,5052,118963,263,5702,1910,47794,1,129133,172459,4,33,339,105,340,105,1618419,3125,19445,19202,243,33885926,5,5,0,0,14650,23701,25799,25959,23953,15642,12930,9792,9540,7100,3393,147778,174,1683,2770,1750,1123,1021,2206,2299,2038,1730,2782,2181,1113,1054,1000,964,1145,1049,2272,2366,2097,1779,2847,2242,1128,1080,1021,986,1163,1020,2165,2294,2030,1702,2788,2166,1108,1051,997,961,1137,12021,22887,25738,16377,12463,23319,15906,7342,9167,9113,9082,9044
12.0,GUJARAT,3425435,3415284,263022,1257554,1894708,593270,1093622,591894,1090968,263194,513099,917093,16473,7674,252815,9658763,32649,1262358,227635,7228229,16477,7847284,18149350,1394,5351,27758,15150,27830,15380,377924888,108709,1084419,746612,337807,1606513000,1377103,851449,525654,923935188,580982,1873634,2189571,1985186,1810891,1809059,1427669,1374025,3429905,838000,834533,17029068,181462,331468,323322,193193,64316,84340,163916,267121,205032,93600,69767,65684,97266,107199,96761,132516,99715,134088,275858,458703,340373,146539,108894,102063,155878,167097,152571,219439,170309,69829,132973,225593,161913,69193,55950,53489,76206,92304,85312,108367,73329,1015735,2233652,4305650,2079496,870604,764433,613372,1014154,1373765,1239503,1656279,986812
13.0,HARYANA,772875,772758,343771,21,428966,262502,401476,262323,401087,80924,217914,325944,5407,228,116679,3459808,101231,2704807,4,59,843,2567768,6164674,1906,1,15967,4134,16033,4218,252166968,27107,684203,518785,165418,1266811732,36649,25379,11270,39291155,487121,788502,797635,607277,568598,578937,422283,390189,975807,381500,166825,5240490,67180,130320,126919,59468,29573,24969,62112,98503,83963,63187,39537,23311,37081,42063,42435,39120,30884,32911,86664,144768,119333,86337,56808,35862,58798,66992,67082,62843,50090,18746,46811,73459,64141,46533,28102,17668,27863,32657,33906,30208,23840,267196,600251,1037623,931514,639311,396486,230440,354165,441517,486775,431646,347750
14.0,HIMACHAL PRADESH,1178128,1172948,318282,71595,783071,498918,649138,498789,648894,263053,452554,576187,21590,1085,293531,12337817,125745,5172103,33278,1566787,7570,11641160,19076707,5322,1914,28622,9018,28629,9047,652044373,146203,936837,869130,67707,2648591545,31851,30855,996,90334451,273543,1231482,2034118,1788829,2087853,2293167,1970365,1639849,3593625,2018900,144706,18145689,38037,161198,166904,110108,99943,105002,118318,140282,154197,107569,124808,143127,182599,133107,128637,144779,145356,123740,141689,166844,181363,124658,143563,163633,209187,151268,147782,168324,171501,84108,93335,111038,122531,85010,97365,109035,148369,102520,102152,118137,114118,1197843,1448992,1733615,1874587,1296912,1451295,1605859,2264090,1469581,1425916,1752034,1555713
